time,open,high,low,close,Volume,Volume MA
1696492800,0.258,0.258,0.2566,0.2572,1118247,1649436.8650000044
1696496400,0.2572,0.2584,0.2571,0.2583,1470054.6,1544355.3700000043
1696500000,0.2584,0.2605,0.2583,0.2604,2681803.4,1569372.9150000042
1696503600,0.2604,0.2623,0.2599,0.2612,3244951.3,1629359.1100000045
1696507200,0.2613,0.2623,0.2594,0.2594,3412254,1704370.1800000041
1696510800,0.2595,0.2631,0.2594,0.2629,4245668.9,1836921.345000004
1696514400,0.2629,0.264,0.2623,0.2629,3019749.1,1901362.9050000042
1696518000,0.2629,0.263,0.2587,0.26,5352434.7,1954871.8500000045
1696521600,0.26,0.2621,0.2588,0.2603,4690521.3,2131315.1850000042
1696525200,0.2603,0.2611,0.259,0.2609,1977383.9,2088939.5400000042
1696528800,0.2609,0.2622,0.2604,0.2622,1996728.6,2124450.8050000044
1696532400,0.2623,0.2634,0.2617,0.2619,2148906.3,2189379.9300000044
1696536000,0.262,0.2629,0.2615,0.2623,1000820.3,2152123.710000004
1696539600,0.2623,0.2623,0.2596,0.26,2058632.8,2200799.420000004
1696543200,0.26,0.2606,0.2593,0.2606,1600686.2,2232795.025000004
1696546800,0.2607,0.261,0.2596,0.2602,1104930.8,2252858.445000004
1696550400,0.2603,0.2623,0.2602,0.2622,2178123.9,2317364.610000004
1696554000,0.2622,0.2635,0.2621,0.2628,1352236.5,2346068.080000004
1696557600,0.2628,0.264,0.2628,0.2629,1527727.9,2373111.075000004
1696561200,0.2629,0.263,0.2617,0.2621,833796.5,2350782.9000000036
1696564800,0.2621,0.2624,0.2614,0.2616,565442.3,2323142.6650000038
1696568400,0.2616,0.2631,0.261,0.263,1021125.9,2300696.2300000032
1696572000,0.2631,0.2634,0.2615,0.262,1641267.5,2248669.4350000033
1696575600,0.2621,0.2639,0.2619,0.2637,1622773.2,2167560.530000004
1696579200,0.2638,0.264,0.2631,0.2634,1879050.2,2090900.340000004
1696582800,0.2635,0.265,0.2634,0.2641,2852806.1,2021257.2000000041
1696586400,0.2642,0.2652,0.2637,0.2639,2143269.9,1977433.240000004
1696590000,0.2639,0.2642,0.2632,0.2637,1261449.4,1772883.9750000038
1696593600,0.2637,0.2639,0.2607,0.2611,4542453.7,1765480.5950000037
1696597200,0.2612,0.2633,0.2607,0.2618,3952762.1,1864249.5050000038
1696600800,0.2619,0.263,0.2611,0.2626,1682951.6,1848560.6550000038
1696604400,0.2627,0.2653,0.2625,0.2642,3105202.5,1896375.465000004
1696608000,0.2642,0.2659,0.2638,0.2657,2729213.6,1982795.130000004
1696611600,0.2657,0.2662,0.2648,0.2661,1318638.8,1945795.4300000041
1696615200,0.2661,0.2663,0.2648,0.2659,1121393.4,1921830.790000004
1696618800,0.2658,0.2665,0.2655,0.2656,1523890.9,1942778.7950000041
1696622400,0.2657,0.2662,0.2652,0.2653,535290.3,1860637.115000004
1696626000,0.2653,0.267,0.2647,0.2661,1683046.3,1877177.6050000037
