time,open,high,low,close,Volume,Volume MA
1701264600,228.2,228.8,227.9,228.1,16257.463,9974.10124999996
1701266400,228.1,228.8,227.7,228.2,9776.164,10292.434649999957
1701268200,228.2,228.3,226.9,227.4,22281.11,11046.637799999959
1701270000,227.4,227.7,226.2,227.3,20607.239,11638.672299999958
1701271800,227.4,228,227.1,227.6,9177.271,11723.647449999959
1701273600,227.6,228,226.6,226.7,12936.159,12195.282899999958
1701275400,226.7,227.2,226.1,226.9,11663.591,12419.36049999996
1701277200,226.8,227.1,226.4,227.1,8383.978,12357.359199999959
1701279000,227.1,227.9,227,227.5,7952.498,12348.15539999996
1701280800,227.6,227.6,226.9,227.2,10878.267,12550.38704999996
1701282600,227.3,227.8,226.8,227.6,6462.137,12474.04369999996
1701284400,227.7,228,227.2,227.3,7561.073,12404.813899999961
1701286200,227.4,227.5,227,227.5,4048.815,11743.69029999996
1701288000,227.4,227.6,226.9,227,3670.824,11171.202899999958
1701289800,227.1,227.2,226.5,227.1,10785.359,10833.626649999958
1701291600,227.1,227.5,226.8,227.1,7732.853,10808.262149999959
1701293400,227.1,227.3,226.8,227,4183.976,10648.169549999959
1701295200,227,227.5,226.9,227.4,2177.768,10105.284749999959
1701297000,227.5,227.5,227.2,227.4,4249.533,9725.144149999958
1701298800,227.4,227.4,226.9,227.3,3263,9202.453899999959
1701300600,227.4,227.5,227,227.3,3783.956,8578.778549999959
1701302400,227.3,227.6,227.1,227.3,11393.744,8659.65754999996
1701304200,227.3,227.6,227,227,5684.049,7829.80449999996
1701306000,227,227.2,226.4,227,6757.782,7137.331649999961
1701307800,227.1,227.3,226.6,226.7,4539.609,6905.44854999996
1701309600,226.7,227.3,226.5,227.3,5709.988,6544.13999999996
1701311400,227.3,227.7,227.2,227.4,4203.714,6171.14614999996
1701313200,227.5,228.1,226.6,228.1,11276.698,6315.78214999996
1701315000,228,229,227.9,228.8,10192.968,6427.80564999996
1701316800,228.8,229.2,228.6,228.9,5312.892,6149.53689999996
1701318600,229,229.1,228.5,228.6,5822.553,6117.557699999959
1701320400,228.7,228.7,228.1,228.2,6723.53,6075.680549999959
1701322200,228.3,228.4,227.6,227.8,6089.949,6177.737249999959
1701324000,227.9,228.2,227.7,228.1,8083.064,6398.349249999959
1701325800,228.1,228.2,227.4,228.2,14178.847,6568.023649999959
1701327600,228.2,228.5,227.9,228.3,8700.904,6616.42619999996
1701329400,228.3,228.4,227.4,227.7,7899.856,6802.22019999996
1701331200,227.7,228,227.1,227.4,9708.346,7178.749099999959
1701333000,227.4,227.5,226.7,227.2,10783.224,7505.433649999958
1701334800,227.3,227.5,227,227.2,10297.178,7857.142549999958
1701336600,227.3,227.8,227.1,227.5,7054.58,8020.673749999956
1701338400,227.4,228,227.3,227.9,9180.282,7910.000649999956
1701340200,228,228.2,227.7,227.7,5601.101,7905.8532499999565
1701342000,227.7,228.3,227.5,228.2,3911.946,7763.561449999956
1701343800,228.2,228.9,228.1,228.9,6083.716,7840.766799999957
1701345600,228.9,229,228.3,228.4,5178.871,7814.210949999957
1701347400,228.4,229,228,228.8,8123.217,8010.186099999957
1701349200,228.9,229.1,228,228.6,18185.566,8355.629499999955
1701351000,228.6,228.9,227.5,227.8,11082.435,8400.102849999956
1701352800,227.8,228.1,227.1,227.8,11866.068,8727.761649999957
1701354600,227.9,228.1,227.2,227.6,14578.29,9165.548499999957
1701356400,227.6,227.8,226.9,227,12667.471,9462.745549999956
1701358200,227,227.2,226.1,226.7,22503.306,10283.413399999958
1701360000,226.6,227,225.9,226.8,15810.324,10669.776399999955
1701361800,226.9,227.2,226.7,227.1,9228.924,10422.280249999956
1701363600,227.2,227.2,227,227.2,5593.304,10266.900249999955
1701365400,227.2,227.5,227,227.4,2874.577,10015.636299999955
