time,open,high,low,close,Volume,Volume MA
1701302400,2028.8,2033.43,2024.8,2027.99,3727.8762,5445.275015000081
1701304200,2027.98,2032.09,2026.38,2026.39,3055.2756,4950.594215000081
1701306000,2026.38,2029,2022.5,2027.12,2965.5273,4165.917565000082
1701307800,2027.13,2030.11,2024.48,2025.06,3180.6255,3857.445280000081
1701309600,2025.06,2032.19,2024.17,2032.18,2635.0791,3512.152445000081
1701311400,2032.2,2036.64,2030.23,2035.84,3403.2616,3383.470685000081
1701313200,2035.84,2036.44,2029.84,2030.84,3465.3213,3329.284470000081
1701315000,2030.84,2040.85,2029.84,2040.71,4298.1276,3340.101935000081
1701316800,2040.71,2044.19,2036.19,2040.01,19789.104,4118.839130000081
1701318600,2040,2041.9,2034.9,2036.44,20938.4964,4997.8159000000815
1701320400,2036.45,2039.01,2033.13,2035.15,3510.8767,4929.410705000081
1701322200,2035.14,2037.01,2032,2034.11,3734.3921,4957.459400000082
1701324000,2034.1,2039.03,2032.4,2038.14,2054.8421,4906.126830000081
1701325800,2038.14,2039,2031.75,2034.83,3295.3298,4781.933090000081
1701327600,2034.82,2039.12,2034.07,2035.92,2241.4193,4693.910275000081
1701329400,2035.92,2036.54,2033.06,2035.76,4725.3027,4821.460095000081
1701331200,2035.76,2036.82,2026.53,2027.31,3841.0316,4905.789060000081
1701333000,2027.3,2028.71,2020.85,2026.02,6059.9474,5122.1033050000815
1701334800,2026.02,2028.56,2022.25,2026.26,3650.1351,5121.964830000082
1701336600,2026.26,2032.8,2025.06,2028.88,3694.8323,5213.340185000081
1701338400,2028.88,2033.13,2028.02,2033.13,2099.9573,5131.944240000081
1701340200,2033.12,2033.95,2030.23,2030.25,2757.9047,5117.075695000081
1701342000,2030.25,2034.89,2028.77,2034.18,3110.313,5124.314980000081
1701343800,2034.17,2046.82,2034.17,2045.48,7532.2111,5341.894260000081
1701345600,2045.47,2052.32,2045.09,2046.71,8607.7502,5640.52781500008
1701347400,2046.71,2047.76,2043.24,2045.38,3936.5992,5667.19469500008
1701349200,2045.38,2047.96,2038.27,2046.99,5866.2732,5787.24229000008
1701351000,2046.99,2048.84,2031.01,2035.45,9380.4496,6041.358390000079
1701352800,2035.46,2035.98,2026,2033.81,8553.6689,5479.586635000081
1701354600,2033.81,2035.97,2025.02,2030.05,9522.7193,4908.79778000008
1701356400,2030.05,2039.12,2028.8,2031.84,5795.2412,5023.01600500008
1701358200,2031.84,2039.66,2026.14,2033.05,10192.2547,5345.909135000081
1701360000,2033.04,2036.1,2028.66,2033.73,6356.2026,5560.977160000081
1701361800,2033.72,2039.23,2032.26,2035.22,3870.6536,5589.743350000082
