time,open,high,low,close,Volume,Volume MA
1696032000,20.28,20.45,20.24,20.39,73053.38,101712.2830000009
1696035600,20.39,20.4,20.23,20.25,67840.41,100700.81350000089
1696039200,20.24,20.28,20.21,20.27,25401.75,98058.48250000089
1696042800,20.27,20.29,20.2,20.21,68207,92338.90700000088
1696046400,20.22,20.23,20.14,20.15,48494.37,89455.9180000009
1696050000,20.15,20.18,20.07,20.18,32428.66,87124.46600000089
1696053600,20.18,20.27,20.17,20.24,23688.84,85244.0100000009
1696057200,20.25,20.35,20.21,20.31,73090.56,84808.9000000009
1696060800,20.32,20.38,20.28,20.31,58320.72,79559.4995000009
1696064400,20.3,20.34,20.26,20.29,31342.47,74421.93600000089
1696068000,20.29,20.32,20.27,20.31,23011.06,58415.335000000894
1696071600,20.31,20.4,20.26,20.28,52343.04,53891.473500000895
1696075200,20.29,20.69,20.28,20.52,185250.77,57423.773000000896
1696078800,20.53,21.11,20.52,20.81,638729.14,86234.9265000009
1696082400,20.81,21.5,20.81,21.3,584977.32,112306.39650000089
1696086000,21.31,21.65,21.19,21.43,462461.14,132370.4405000009
1696089600,21.44,21.81,21.39,21.52,340673.04,147327.4555000009
1696093200,21.52,21.7,21.39,21.48,195803.69,154501.0380000009
1696096800,21.48,21.53,21.25,21.3,257387.77,164291.2210000009
1696100400,21.31,21.47,21.27,21.41,103727.85,167311.6490000009
1696104000,21.41,21.46,21.34,21.34,60526.53,166685.3065000009
1696107600,21.35,21.36,21.23,21.29,57441.96,166165.3840000009
1696111200,21.29,21.42,21.28,21.42,52285.78,167509.5855000009
1696114800,21.43,21.45,21.35,21.37,48870.27,166542.74900000088
1696118400,21.37,21.41,21.19,21.32,147044.14,171470.2375000009
1696122000,21.33,21.36,21.27,21.34,39128.15,171805.21200000087
1696125600,21.34,21.43,21.16,21.22,91094.12,175175.4760000009
1696129200,21.23,21.24,21.13,21.21,52103.13,174126.1045000009
1696132800,21.21,21.29,21.17,21.26,41841.52,173302.14450000087
1696136400,21.26,21.31,21.22,21.28,33100.23,173390.03250000085
1696140000,21.29,21.38,21.23,21.36,70265.62,175752.76050000085
1696143600,21.36,21.41,21.3,21.37,70865.99,176678.90800000087
1696147200,21.37,21.57,21.36,21.51,155728.72,175202.8055000009
1696150800,21.51,21.88,21.48,21.81,196045.6,153068.62850000086
1696154400,21.81,24.25,21.8,23.11,1766421.61,212140.8430000009
1696158000,23.11,23.19,22.93,22.97,265091.02,202272.3370000009
1696161600,22.97,23.3,22.83,23.15,312600.32,200868.70100000087
1696165200,23.16,23.44,23,23.12,414421.2,211799.5765000009
1696168800,23.12,23.28,22.97,23.09,189417.05,208401.04050000088
1696172400,23.1,23.19,23.02,23.1,127714.95,209600.3955000009
1696176000,23.09,23.09,22.59,22.66,348644.38,224006.28800000093
1696179600,22.66,22.73,22.44,22.52,214221.48,231845.26400000096
1696183200,22.52,22.78,22.48,22.69,106839.58,234572.95400000093
1696186800,22.68,22.79,22.63,22.72,58812.2,235070.05050000097
1696190400,22.73,22.94,22.58,22.81,115135.73,233474.630000001
1696194000,22.81,23,22.78,23,59672.19,234501.832000001
1696197600,23,24.5,22.93,24.38,1144717.93,287183.022500001
1696201200,24.38,24.47,23.78,23.87,395401.64,304347.94800000096
1696204800,23.88,24.01,23.64,23.76,277364.7,316124.107000001
1696208400,23.76,24.05,23.58,23.94,204681.15,324703.153000001
1696212000,23.95,24.16,23.87,24.16,200243.72,331202.058000001
1696215600,24.16,24.34,24,24.1,250708.98,340194.207500001
1696219200,24.1,24.24,24.04,24.2,114742.05,338144.874000001
1696222800,24.21,24.22,23.95,24.13,226897.48,339687.46800000104
1696226400,24.13,24.8,24.09,24.35,479055.17,275319.146000001
1696230000,24.35,24.5,24.18,24.33,354952.31,279812.21050000103
1696233600,24.33,24.52,24.07,24.13,281988.4,278281.614500001
1696237200,24.12,24.19,24.06,24.09,125165.9,263818.84950000106
1696240800,24.08,24.23,24.06,24.13,96865.49,259191.27150000105
1696244400,24.13,24.2,23.78,23.82,243758.94,264993.47100000107
1696248000,23.83,24.12,23.78,24.08,201452.03,257633.85350000107
1696251600,24.08,24.1,23.85,23.99,164243.69,255134.96400000108
1696255200,23.99,24.27,23.59,24.18,363973.89,267991.6795000011
1696258800,24.18,24.48,23.77,24.06,708080.54,300455.09650000103
1696262400,24.05,24.29,23.92,24.08,362604,312828.51000000106
1696266000,24.07,24.19,23.89,24.06,145293.19,317109.56000000105
1696269600,24.06,24.06,23.08,23.26,505902.89,285168.808000001
1696273200,23.26,23.96,23.16,23.83,299287.45,280363.09850000107
1696276800,23.83,23.83,23.44,23.45,113211.04,272155.41550000105
1696280400,23.45,23.51,22.96,23.17,317079.31,277775.323500001
1696284000,23.17,23.34,22.9,23.34,202020.23,277864.149000001
1696287600,23.33,23.43,23.26,23.37,73512.96,269004.34800000105
1696291200,23.38,23.52,23.3,23.46,139010.72,270217.78150000103
1696294800,23.45,23.81,23.31,23.66,205951.77,269170.496000001
1696298400,23.66,23.69,23.47,23.61,99821.29,250208.802000001
