unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1703721600,2023/12/28 0:00,BTC/USDT,43448,43457,43384,43457,0.09605854,4174.415973
1703718000,2023/12/27 23:00,BTC/USDT,43332,43448,43332,43404,1.03041201,44724.00288
1703714400,2023/12/27 22:00,BTC/USDT,43457,43540,43325,43419,0.07722514,3353.038354
1703710800,2023/12/27 21:00,BTC/USDT,43488,43488,43264,43336,0.31247864,13541.57434
1703707200,2023/12/27 20:00,BTC/USDT,43164,43550,43142,43483,2.01256544,87512.38303
1703703600,2023/12/27 19:00,BTC/USDT,43111,43163,43067,43159,0.06200828,2676.215357
1703700000,2023/12/27 18:00,BTC/USDT,43076,43076,42974,43032,0.05426185,2334.995929
1703696400,2023/12/27 17:00,BTC/USDT,43074,43146,42880,43018,0.55091408,23699.22189
1703692800,2023/12/27 16:00,BTC/USDT,42957,43173,42897,43089,0.411398,17726.72842
1703689200,2023/12/27 15:00,BTC/USDT,42933,43048,42819,43007,0.1488823,6402.981076
1703685600,2023/12/27 14:00,BTC/USDT,42924,43135,42839,43039,0.59781982,25729.56723
1703682000,2023/12/27 13:00,BTC/USDT,42888,42912,42856,42912,0.15283322,6558.379137
1703678400,2023/12/27 12:00,BTC/USDT,42989,43049,42783,42914,0.1548452,6645.026913
1703674800,2023/12/27 11:00,BTC/USDT,43201,43202,42917,42991,1.94361917,83558.13174
1703671200,2023/12/27 10:00,BTC/USDT,42717,43200,42717,43195,3.10835992,134265.6067
1703667600,2023/12/27 9:00,BTC/USDT,42722,42739,42635,42739,0.08558369,3657.761327
1703664000,2023/12/27 8:00,BTC/USDT,42450,42721,42397,42721,0.13743701,5871.446504
1703660400,2023/12/27 7:00,BTC/USDT,42420,42482,42399,42445,0.02727627,1157.74128
1703656800,2023/12/27 6:00,BTC/USDT,42469,42541,42441,42441,0.86897434,36880.13996
1703653200,2023/12/27 5:00,BTC/USDT,42304,42427,42304,42427,0.08483878,3599.454919
1703649600,2023/12/27 4:00,BTC/USDT,42225,42326,42212,42288,0.11701949,4948.520193
1703646000,2023/12/27 3:00,BTC/USDT,42314,42314,42133,42276,0.16328375,6902.983815
1703642400,2023/12/27 2:00,BTC/USDT,42433,42461,42204,42204,0.30232968,12759.52181
1703638800,2023/12/27 1:00,BTC/USDT,42364,42495,42358,42466,0.23565025,10007.12352
1703635200,2023/12/27 0:00,BTC/USDT,42509,42526,42358,42358,0.4622887,19581.62475
1703631600,2023/12/26 23:00,BTC/USDT,42479,42529,42414,42507,0.40302999,17131.59578
1703628000,2023/12/26 22:00,BTC/USDT,42345,42572,42332,42460,0.70698283,30018.49096
1703624400,2023/12/26 21:00,BTC/USDT,42141,42350,42141,42350,0.44444129,18822.08863
1703620800,2023/12/26 20:00,BTC/USDT,42065,42237,42065,42216,0.22272898,9402.72662
1703617200,2023/12/26 19:00,BTC/USDT,42117,42291,42103,42103,0.49513938,20846.85332
1703613600,2023/12/26 18:00,BTC/USDT,42095,42140,41825,42127,0.76778275,32344.38391
1703610000,2023/12/26 17:00,BTC/USDT,42300,42335,41655,41858,4.44702205,186143.449
1703606400,2023/12/26 16:00,BTC/USDT,42369,42369,42140,42332,0.78703775,33316.88203
1703602800,2023/12/26 15:00,BTC/USDT,42604,42739,42276,42381,1.33342991,56512.09302
1703599200,2023/12/26 14:00,BTC/USDT,42713,42788,42597,42597,0.59277202,25250.30974
1703595600,2023/12/26 13:00,BTC/USDT,42752,42779,42663,42728,0.59854182,25574.49488
1703592000,2023/12/26 12:00,BTC/USDT,42667,42780,42619,42759,0.48459979,20721.00242
1703588400,2023/12/26 11:00,BTC/USDT,42644,42698,42570,42684,0.17495481,7467.77111
1703584800,2023/12/26 10:00,BTC/USDT,42401,42677,42400,42626,0.49420739,21066.08421
1703581200,2023/12/26 9:00,BTC/USDT,42705,42726,42197,42416,5.24282761,222379.7759
1703577600,2023/12/26 8:00,BTC/USDT,42769,42769,42683,42720,1.24973584,53388.71508
1703574000,2023/12/26 7:00,BTC/USDT,42690,42830,42640,42815,0.65246736,27935.39002
1703570400,2023/12/26 6:00,BTC/USDT,42722,42799,42561,42693,1.32181165,56432.10477
1703566800,2023/12/26 5:00,BTC/USDT,43343,43343,42666,42792,6.06249229,259426.1701
1703563200,2023/12/26 4:00,BTC/USDT,43445,43445,43388,43443,0.10395572,4516.148344
1703559600,2023/12/26 3:00,BTC/USDT,43459,43464,43380,43425,0.22903481,9945.836624
1703556000,2023/12/26 2:00,BTC/USDT,43479,43531,43435,43444,0.56481398,24537.77855
1703552400,2023/12/26 1:00,BTC/USDT,43473,43493,43419,43419,0.02984304,1295.754954
1703548800,2023/12/26 0:00,BTC/USDT,43584,43592,43470,43470,0.12256783,5328.02357
1703545200,2023/12/25 23:00,BTC/USDT,43600,43622,43600,43622,0.00768001,335.0173962
1703541600,2023/12/25 22:00,BTC/USDT,43594,43690,43594,43689,0.28083707,12269.49075
1703538000,2023/12/25 21:00,BTC/USDT,43428,43428,43406,43406,0.0606046,2630.603268
1703534400,2023/12/25 20:00,BTC/USDT,43386,43386,43376,43376,0.00384798,166.9099805
1703530800,2023/12/25 19:00,BTC/USDT,43442,43507,43442,43507,0.59671622,25961.33258
1703527200,2023/12/25 18:00,BTC/USDT,43594,43641,43462,43462,0.86145093,37440.38032
1703523600,2023/12/25 17:00,BTC/USDT,43587,43620,43587,43603,0.00849753,370.5178006
1703520000,2023/12/25 16:00,BTC/USDT,43601,43670,43480,43480,2.3461555,102010.8411
1703516400,2023/12/25 15:00,BTC/USDT,43713,43753,43633,43635,0.2579529,11255.77479
1703512800,2023/12/25 14:00,BTC/USDT,43695,43743,43572,43648,0.40120477,17511.7858
1703509200,2023/12/25 13:00,BTC/USDT,43700,43799,43534,43642,1.58056596,68979.05963
1703505600,2023/12/25 12:00,BTC/USDT,43114,43655,43106,43655,5.29355354,231090.0798
1703502000,2023/12/25 11:00,BTC/USDT,43181,43199,43164,43181,0.13188827,5695.067387
1703498400,2023/12/25 10:00,BTC/USDT,43176,43176,43158,43158,0.22542928,9729.076866
1703494800,2023/12/25 9:00,BTC/USDT,43174,43174,43069,43160,0.17889939,7721.297672
1703491200,2023/12/25 8:00,BTC/USDT,43244,43244,43128,43128,1.38967527,59933.91504
1703487600,2023/12/25 7:00,BTC/USDT,43233,43266,43191,43266,0.35012359,15148.44724
1703484000,2023/12/25 6:00,BTC/USDT,43270,43336,43245,43245,0.55380159,23949.14976
1703480400,2023/12/25 5:00,BTC/USDT,43124,43224,43114,43224,0.39967381,17275.50076
1703476800,2023/12/25 4:00,BTC/USDT,43191,43191,43191,43191,0.09264133,4001.271684
1703473200,2023/12/25 3:00,BTC/USDT,43070,43139,43070,43139,0.1262981,5448.373736
1703469600,2023/12/25 2:00,BTC/USDT,43049,43049,42899,42899,0.10740894,4607.736117
1703466000,2023/12/25 1:00,BTC/USDT,42949,43050,42949,43050,0.46976226,20223.26529
1703462400,2023/12/25 0:00,BTC/USDT,42979,43070,42755,42889,1.06937302,45864.33945
1703458800,2023/12/24 23:00,BTC/USDT,42967,43134,42967,43020,0.17019928,7321.973026
1703455200,2023/12/24 22:00,BTC/USDT,43553,43553,42603,42866,15.92650967,682705.7635
1703451600,2023/12/24 21:00,BTC/USDT,43504,43504,43477,43477,0.12347731,5368.423007
1703448000,2023/12/24 20:00,BTC/USDT,43582,43582,43461,43461,0.17942684,7798.069893
1703444400,2023/12/24 19:00,BTC/USDT,43636,43662,43572,43625,0.14653375,6392.534844
1703440800,2023/12/24 18:00,BTC/USDT,43663,43663,43605,43624,1.75275757,76462.29623
1703437200,2023/12/24 17:00,BTC/USDT,43621,43656,43621,43626,0.02362097,1030.488437
1703433600,2023/12/24 16:00,BTC/USDT,43602,43695,43602,43695,0.14421933,6301.663624
1703430000,2023/12/24 15:00,BTC/USDT,43736,43790,43674,43709,0.07456591,3259.20136
1703426400,2023/12/24 14:00,BTC/USDT,43841,43841,43700,43725,0.14541876,6358.435281
1703422800,2023/12/24 13:00,BTC/USDT,43632,43698,43632,43689,0.10371564,4531.232596
1703419200,2023/12/24 12:00,BTC/USDT,43655,43655,43611,43645,0.11297299,4930.706149
1703415600,2023/12/24 11:00,BTC/USDT,43584,43624,43584,43624,0.01563699,682.1480518
1703412000,2023/12/24 10:00,BTC/USDT,43694,43694,43416,43566,1.42588504,62120.10765
1703408400,2023/12/24 9:00,BTC/USDT,43605,43687,43605,43687,0.44850513,19593.84361
1703404800,2023/12/24 8:00,BTC/USDT,43629,43663,43587,43653,0.34494315,15057.80333
1703401200,2023/12/24 7:00,BTC/USDT,43643,43651,43643,43651,0.31163236,13603.06415
1703397600,2023/12/24 6:00,BTC/USDT,43455,43526,43455,43504,0.01422925,619.029292
1703394000,2023/12/24 5:00,BTC/USDT,43789,43798,43418,43510,0.42501,18492.1851
1703390400,2023/12/24 4:00,BTC/USDT,43936,43936,43803,43803,0.04403185,1928.727126
1703386800,2023/12/24 3:00,BTC/USDT,43854,43859,43813,43822,0.46354383,20313.41772
1703383200,2023/12/24 2:00,BTC/USDT,43782,43893,43782,43810,0.09922913,4347.228185
1703379600,2023/12/24 1:00,BTC/USDT,43858,43896,43730,43776,0.04781297,2093.060575
1703376000,2023/12/24 0:00,BTC/USDT,43701,43716,43621,43714,0.30199794,13201.53795
1703372400,2023/12/23 23:00,BTC/USDT,43816,43816,43719,43719,0.07525821,3290.213683
1703368800,2023/12/23 22:00,BTC/USDT,43770,43827,43766,43787,0.03838306,1680.679048
1703365200,2023/12/23 21:00,BTC/USDT,43706,43788,43690,43773,0.07186801,3145.878402
1703361600,2023/12/23 20:00,BTC/USDT,43707,43719,43647,43698,0.3828296,16728.88786
1703358000,2023/12/23 19:00,BTC/USDT,43766,43775,43698,43706,0.19371206,8466.379294
1703354400,2023/12/23 18:00,BTC/USDT,43731,43839,43731,43839,0.09894915,4337.831787
